habitation_id,habitation_name,district,latitude,longitude
281621,Raja Bala,Dhubri,25.843808644300523,89.98886930224134
281622,Rajabala Bhlukmari,Dhubri,25.851234448092715,90.00316729356194
281619,Tumni Simlakandi,Dhubri,25.868428746862424,90.00081388872367
281620,Tumni Lawkhowa,Dhubri,25.86591633986452,90.01500732855607
281629,Taltari,Dhubri,25.883099348241448,90.00881832004299
281624,Monirchar,Dhubri,25.8822900357495,89.97466668464843
281618,Tumni,Dhubri,25.87398565137329,89.98555264965262
281623,Rajabala Tersertari,Dhubri,25.856204550550512,89.98316189755882
281627,Monirchar Boidergaon,Dhubri,25.8642200669199,89.97275838225393
281626,Monir Damumara,Dhubri,25.88418493682153,89.96117821816206
281464,Satitralga Pt.I  (Natineralga Pt.I),Dhubri,25.9018873491064,89.96315234301305
281465,Nateseralga Pt.II  (Natineralga Pt.II),Dhubri,25.91228170998833,89.97730886523293
281628,Lawkhowa,Dhubri,25.894211646910087,89.98132582957948
281630,Khodaidhila,Dhubri,25.888799944179564,89.99384726851494
281611,Salmara Pt.I,Dhubri,25.896927811130727,89.99690442781453
281612,Salmara Pt.II,Dhubri,25.890532363170507,90.01057079192908
281613,Baladoba,Dhubri,25.9029575464606,90.0027975498252
281615,Chaitarchar Pt.II,Dhubri,25.90636202659504,89.99794907963984
281617,Chaitarchar  (Basirchar),Dhubri,25.91789643024161,89.99490324547587
281616,Chaitarchar Pt.III,Dhubri,25.91392489786103,90.00337321794294
281600,Soto Ravatary,Dhubri,25.920620215015035,90.01360406425194
281601,Chaitarchar Pt.I,Dhubri,25.92759565762549,90.00833975081457
281597,Baushkata Pt.VI,Dhubri,25.939737663248533,90.00814807150117
281602,Char Bastir Char,Dhubri,25.933812542537623,89.999075896844
281466,Dawarikhota,Dhubri,25.930031264626265,89.97659147037905
281469,Kathieralga No.I,Dhubri,25.94284882663689,89.95678786913054
281468,Assameralga,Dhubri,25.930442692066627,89.95711202697923
281485,Pacherchar Pt.III,Dhubri,25.91898104463494,89.9348566147221
281467,Pacherchar,Dhubri,25.91806508463309,89.9587499229858
281483,Pacherchar Pt.I,Dhubri,25.89658737904736,89.94189873701997
281484,Pacherchar Pt.II,Dhubri,25.901267589310315,89.92784294893575
281482,Sutramara Pt.II,Dhubri,25.88582141698367,89.92767103638248
281020,Baldiaralga N.C.,Dhubri,25.929524838474133,89.91644660279496
281026,Baldiaralga N.C.,Dhubri,25.941386948821343,89.89410962003727
281021,Tharigrambita,Dhubri,25.923670968366903,89.89078876019165
281023,Fulkakata Pt.I,Dhubri,25.897487130541663,89.86679571561591
281024,Fulkakata Pt.II,Dhubri,25.892432519178488,89.87749134900247
281022,Montirchar,Dhubri,25.91192687205078,89.88977295866107
281025,Fulkakata Pt.III,Dhubri,25.90243329015724,89.88310991170921
281489,Muthakhowa Pt.III,Dhubri,25.89950871507115,89.9048060833655
